method,bufsize,bytes,real_sec,user_sec,sys_sec
read,1,524288000,112.720404806,13.555514000,99.162456000
read,2,524288000,56.389497211,6.876000000,49.512025000
read,4,524288000,28.304439677,3.451965000,24.851755000
read,8,524288000,14.111344204,1.747858000,12.362964000
read,16,524288000,7.093440168,0.827666000,6.265567000
read,32,524288000,3.545143825,0.404121000,3.140884000
read,64,524288000,1.803606274,0.211946000,1.591594000
read,128,524288000,0.914014291,0.120238000,0.793743000
read,256,524288000,0.468600205,0.048072000,0.420514000
read,512,524288000,0.291269934,0.039911000,0.251353000
read,1024,524288000,0.155121254,0.011892000,0.143216000
read,2048,524288000,0.126117431,0.007773000,0.118344000
read,4096,524288000,0.086841204,0.008340000,0.078501000
read,8192,524288000,0.075882203,0.000000000,0.075882000
read,16384,524288000,0.067002434,0.000000000,0.067002000
read,32768,524288000,0.066449963,0.000000000,0.066441000
read,65536,524288000,0.065621356,0.003881000,0.061739000
read,16777216,524288000,0.087000646,0.000000000,0.087001000
getc,1,524288000,1.356018844,1.267840000,0.088105000
fgetc,1,524288000,1.355903263,1.295943000,0.059892000
fread,1,524288000,5.335791562,5.267792000,0.067823000
fread,2,524288000,2.731404520,2.651813000,0.079467000
fread,4,524288000,1.415655584,1.355897000,0.059727000
fread,8,524288000,0.762941822,0.692459000,0.070424000
fread,16,524288000,0.430461690,0.383731000,0.046728000
fread,32,524288000,0.272451059,0.184073000,0.088375000
fread,64,524288000,0.192068938,0.108009000,0.084059000
fread,128,524288000,0.151792860,0.063962000,0.087830000
fread,256,524288000,0.138465843,0.043731000,0.094674000
fread,512,524288000,0.138612795,0.024441000,0.114172000
fread,1024,524288000,0.131075306,0.027842000,0.103233000
fread,2048,524288000,0.131526761,0.019922000,0.111604000
fread,4096,524288000,0.108925090,0.000156000,0.108768000
fread,8192,524288000,0.087679461,0.003942000,0.083718000
fread,16384,524288000,0.073081164,0.000183000,0.072880000
fread,32768,524288000,0.068745456,0.003450000,0.065295000
fread,65536,524288000,0.067049644,0.000515000,0.066535000
fread,16777216,524288000,0.089926162,0.000000000,0.089927000
my_fread,1,524288000,118.695358517,19.335005000,99.357018000
my_fread,2,524288000,59.509368804,9.587921000,49.919550000
my_fread,4,524288000,29.901451628,4.644084000,25.256383000
my_fread,8,524288000,14.871535754,2.535842000,12.335201000
my_fread,16,524288000,7.462318132,1.179665000,6.282331000
my_fread,32,524288000,3.728229769,0.592021000,3.136102000
my_fread,64,524288000,1.897971118,0.396321000,1.501607000
my_fread,128,524288000,0.991997430,0.171992000,0.819948000
my_fread,256,524288000,0.495168826,0.107852000,0.387298000
my_fread,512,524288000,0.312315114,0.052046000,0.260233000
my_fread,1024,524288000,0.163978310,0.031999000,0.131978000
my_fread,2048,524288000,0.133683499,0.007618000,0.126052000
my_fread,4096,524288000,0.097558979,0.012253000,0.085305000
my_fread,8192,524288000,0.084199241,0.004031000,0.080151000
my_fread,16384,524288000,0.076267377,0.008049000,0.068218000
my_fread,32768,524288000,0.086734105,0.003789000,0.082938000
my_fread,65536,524288000,0.083940940,0.035988000,0.047938000
my_fread,16777216,524288000,0.125833277,0.036298000,0.089535000
