method,bufsize,bytes,real_sec,user_sec,sys_sec
write,1,524288000,519.885967747,28.398364000,491.344692000
write,2,524288000,258.583792954,14.599576000,243.874502000
write,4,524288000,130.718166487,7.192194000,123.458445000
write,8,524288000,64.723740936,3.499749000,61.135711000
write,16,524288000,33.183752240,1.852301000,31.037260000
write,32,524288000,17.716469774,0.899073000,15.700131000
write,64,524288000,8.998365823,0.444114000,8.042532000
write,128,524288000,5.922991821,0.194580000,4.307318000
write,256,524288000,4.366783467,0.095779000,2.479726000
write,512,524288000,2.786437944,0.055629000,1.350041000
write,1024,524288000,2.527278499,0.031823000,0.868847000
write,2048,524288000,2.733176340,0.005125000,0.650786000
write,4096,524288000,2.502849182,0.026952000,0.494828000
write,8192,524288000,2.752774579,0.000000000,0.514676000
write,16384,524288000,2.802268817,0.007150000,0.525769000
write,32768,524288000,3.925510260,0.000373000,0.486582000
write,65536,524288000,2.863584769,0.000433000,0.503786000
write,16777216,524288000,2.231312151,0.001910000,0.520035000
