method,bufsize,bytes,real_sec,user_sec,sys_sec
write,1,1048576,1.105486069,0.066258000,1.039201000
write,2,1048576,0.540919021,0.015797000,0.524927000
write,4,1048576,0.259633752,0.007970000,0.251427000
write,8,1048576,0.126141486,0.004090000,0.121824000
write,16,1048576,0.063368908,0.003959000,0.059174000
write,32,1048576,0.032080395,0.011996000,0.019855000
write,64,1048576,0.016067086,0.000000000,0.015845000
write,128,1048576,0.008348294,0.000000000,0.008087000
write,256,1048576,0.004527166,0.000009000,0.004227000
write,512,1048576,0.002583295,0.000000000,0.002363000
write,1024,1048576,0.001655043,0.000000000,0.001396000
write,2048,1048576,0.001154316,0.000000000,0.000929000
write,4096,1048576,0.000855248,0.000000000,0.000635000
write,8192,1048576,0.000857905,0.000000000,0.000597000
write,16384,1048576,0.000847717,0.000000000,0.000571000
write,32768,1048576,0.000760534,0.000000000,0.000549000
write,65536,1048576,0.000802647,0.000000000,0.000550000
write,16777216,1048576,0.006187278,0.000000000,0.006188000
