method,bufsize,bytes,real_sec,user_sec,sys_sec
write,1,65536,0.089656622,0.005993000,0.083661000
write,2,65536,0.034207611,0.004210000,0.029998000
write,4,65536,0.017169595,0.000078000,0.017069000
write,8,65536,0.008637539,0.000000000,0.008620000
write,16,65536,0.004346427,0.000000000,0.004330000
write,32,65536,0.002232897,0.000000000,0.002186000
write,64,65536,0.001149008,0.000000000,0.001129000
write,128,65536,0.000621715,0.000041000,0.000552000
write,256,65536,0.000340790,0.000024000,0.000299000
write,512,65536,0.000218081,0.000013000,0.000160000
write,1024,65536,0.000134167,0.000009000,0.000105000
write,2048,65536,0.000101997,0.000007000,0.000081000
write,4096,65536,0.000105272,0.000004000,0.000055000
write,8192,65536,0.000076162,0.000005000,0.000052000
write,16384,65536,0.000077729,0.000005000,0.000055000
write,32768,65536,0.000075437,0.000005000,0.000059000
write,65536,65536,0.000104707,0.000006000,0.000066000
write,16777216,65536,0.008135827,0.000000000,0.008137000
