method,bufsize,bytes,real_sec,user_sec,sys_sec
write_sync,1,65536,34.368237098,0.167610000,9.264923000
write_sync,2,65536,19.891625190,0.334421000,3.044375000
write_sync,4,65536,9.325088690,0.110868000,1.430091000
write_sync,8,65536,5.353262243,0.098734000,0.690009000
write_sync,16,65536,2.301638062,0.041894000,0.344399000
write_sync,32,65536,1.112209898,0.022904000,0.168019000
write_sync,64,65536,0.583172171,0.011337000,0.085399000
write_sync,128,65536,0.278339533,0.003644000,0.044540000
write_sync,256,65536,0.154749334,0.006038000,0.018900000
write_sync,512,65536,0.079177638,0.000010000,0.012547000
write_sync,1024,65536,0.039776717,0.003106000,0.003371000
write_sync,2048,65536,0.015943535,0.000159000,0.003009000
write_sync,4096,65536,0.005574066,0.000076000,0.001438000
write_sync,8192,65536,0.003122941,0.000000000,0.001015000
write_sync,16384,65536,0.001760208,0.000000000,0.000674000
write_sync,32768,65536,0.001005804,0.000000000,0.000408000
write_sync,65536,65536,0.000662514,0.000000000,0.000361000
write_sync,16777216,65536,0.019660632,0.000159000,0.018911000
